City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
638,Sedalia,38.7045,-93.2283,64.11,56,92,7.45,US,2022-04-11 22:53:41
639,Los Llanos De Aridane,28.6585,-17.9182,62.35,81,100,5.01,ES,2022-04-11 22:53:41
640,Dakar,14.6937,-17.4441,67.08,94,75,16.11,SN,2022-04-11 22:49:17
641,Itacare,-14.2775,-38.9967,77.14,77,6,6.71,BR,2022-04-11 22:52:19
642,Amahai,-3.3333,128.9167,79.61,83,96,2.35,ID,2022-04-11 22:53:42
643,Port-Gentil,-0.7193,8.7815,80.55,84,35,12.95,GA,2022-04-11 22:53:42
644,Lodja,-3.4833,23.4333,73.38,86,90,0.49,CD,2022-04-11 22:53:42
645,Deputatskiy,69.3,139.9,7.39,75,100,2.21,RU,2022-04-11 22:51:07
646,Port Augusta,-32.5,137.7667,72.5,43,7,9.84,AU,2022-04-11 22:54:43
647,Kashi,39.4547,75.9797,65.41,25,40,0.0,CN,2022-04-11 22:54:43
648,Ahipara,-35.1667,173.1667,66.61,74,100,10.83,NZ,2022-04-11 22:54:43
649,Punta Alta,-38.8759,-62.0736,54.73,70,60,3.56,AR,2022-04-11 22:54:44
650,Rongcheng,30.634,117.8517,72.61,65,3,2.46,CN,2022-04-11 22:54:44
651,Kuytun,54.3419,101.5036,25.88,72,100,9.24,RU,2022-04-11 22:54:44
652,Murray Bridge,-35.1167,139.2667,56.12,51,63,5.28,AU,2022-04-11 22:54:45
653,Westport,41.1415,-73.3579,57.27,56,99,13.0,US,2022-04-11 22:52:39
654,Lubango,-14.9172,13.4925,58.05,92,100,4.61,AO,2022-04-11 22:52:09
655,Galle,6.0367,80.217,80.74,78,97,5.84,LK,2022-04-11 22:54:45
656,Tabuk,17.4189,121.4443,75.11,87,65,2.17,PH,2022-04-11 22:54:46
657,Luan,46.3592,6.9759,43.65,74,86,1.01,CH,2022-04-11 22:54:46
658,Jinhua,29.1078,119.6547,70.57,72,0,1.81,CN,2022-04-11 22:54:46
659,Kautokeino,69.0125,23.0412,28.72,80,100,14.74,NO,2022-04-11 22:54:47
660,Nehe,48.4833,124.8333,37.63,44,15,9.44,CN,2022-04-11 22:54:47
