City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Hermanus,ZA,-34.4187,19.2345,63.81,88,100,8.55,overcast clouds
147,Moroto,UG,2.5345,34.6666,71.87,57,13,8.61,few clouds
148,Nyurba,RU,63.2842,118.3319,28.35,96,100,8.1,light snow
149,Klaksvik,FO,62.2266,-6.589,43.72,88,82,18.16,broken clouds
150,Ileza,RU,61.0533,43.9002,31.51,85,100,9.44,overcast clouds
151,Olinda,BR,-8.0089,-34.8553,82.13,69,0,4.61,clear sky
152,Micheweni,TZ,-4.9667,39.8333,78.76,86,49,5.01,moderate rain
153,Saint George,US,37.1041,-113.5841,64.63,7,0,25.32,clear sky
154,Katherine,AU,-14.4667,132.2667,79.12,78,95,2.3,overcast clouds
155,Belmonte,BR,-15.8631,-38.8828,78.6,82,37,6.76,scattered clouds
156,Lebu,CL,-37.6167,-73.65,53.4,84,0,17.54,clear sky
157,Chernolesskoye,RU,44.7156,43.7133,41.14,69,75,4.43,broken clouds
158,Zhangye,CN,38.9342,100.4517,47.8,34,96,7.27,overcast clouds
159,Salta,AR,-24.7859,-65.4117,57.79,92,100,3.44,overcast clouds
160,Caraballeda,VE,10.6112,-66.8522,82.47,78,20,5.75,few clouds
161,Colesberg,ZA,-30.72,25.0972,60.71,56,23,5.55,few clouds
162,Gat,IL,31.61,34.7642,56.8,72,28,6.62,scattered clouds
163,Port Alfred,ZA,-33.5906,26.891,62.19,94,62,4.0,broken clouds
164,Klyuchi,RU,52.2667,79.1667,39.36,67,1,11.9,clear sky
165,Mayumba,GA,-3.432,10.6554,76.46,88,62,2.8,broken clouds
166,Seymchan,RU,62.8833,152.4333,13.33,78,100,6.96,overcast clouds
167,Vidalia,US,32.2177,-82.4135,80.71,47,0,6.91,clear sky
168,Ayan,RU,56.45,138.1667,28.47,67,88,12.03,overcast clouds
169,Yerbogachen,RU,61.2767,108.0108,31.75,96,100,15.86,snow
170,Saint-Augustin,CA,51.226,-58.6502,33.51,96,98,3.09,overcast clouds
171,Bharatpur,IN,27.2167,77.4833,84.63,17,18,6.22,few clouds
172,Port Macquarie,AU,-31.4333,152.9167,66.88,77,71,7.85,light rain
173,Narsaq,GL,60.9167,-46.05,50.22,61,97,6.96,overcast clouds
174,Hualmay,PE,-11.0964,-77.6139,68.32,79,18,11.1,few clouds
175,Sao Miguel,BR,-5.4667,-35.3667,83.17,79,13,10.2,few clouds
176,Kavieng,PG,-2.5744,150.7967,84.38,70,66,11.99,broken clouds
177,Lagoa,PT,39.05,-27.9833,58.08,67,0,22.44,clear sky
178,Sao Filipe,CV,14.8961,-24.4956,71.15,77,6,8.68,clear sky
179,Zhigansk,RU,66.7697,123.3711,20.95,94,100,20.47,light snow
180,Aykhal,RU,66.0,111.5,18.57,95,96,15.26,overcast clouds
181,Antofagasta,CL,-23.65,-70.4,61.88,85,13,3.83,few clouds
182,Paracuru,BR,-3.41,-39.0306,82.11,85,92,6.82,overcast clouds
183,Luderitz,NA,-26.6481,15.1594,61.81,79,69,6.78,broken clouds
184,Antonina,BR,-25.4286,-48.7119,78.42,99,100,1.36,overcast clouds
185,Cape Town,ZA,-33.9258,18.4232,65.12,85,0,18.41,clear sky
186,Abha,SA,18.2164,42.5053,64.22,32,0,0.0,clear sky
187,Ibra,OM,22.6906,58.5334,77.59,23,4,2.33,clear sky
188,Salalah,OM,17.0151,54.0924,80.69,89,0,2.3,clear sky
189,Airai,TL,-8.9266,125.4092,64.13,85,100,2.08,overcast clouds
190,Pervomayskoye,RU,43.919,46.7102,45.39,90,100,6.42,overcast clouds
191,Portland,US,45.5234,-122.6762,49.98,69,40,11.5,scattered clouds
192,Mamallapuram,IN,12.6264,80.1722,84.06,78,100,7.47,overcast clouds
193,Saskylakh,RU,71.9167,114.0833,0.59,96,100,8.79,overcast clouds
194,Kismayo,SO,-0.3582,42.5454,82.0,79,39,10.29,scattered clouds
195,Nishihara,JP,26.1842,127.7558,74.48,84,75,5.75,broken clouds
196,Emirdag,TR,39.0197,31.15,34.92,56,1,2.44,clear sky
197,Litovko,RU,49.2361,135.1742,31.98,90,66,3.89,broken clouds
