City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,Los Chiles,11.0333,-84.7167,92.91,44,55,5.82,CR,2022-04-06 17:30:06
163,Bud,39.447,-86.1758,51.91,95,98,12.44,US,2022-04-06 17:30:07
164,Kijang,35.2442,129.2139,47.93,60,1,5.64,KR,2022-04-06 17:30:08
165,San Cristobal,7.7669,-72.225,82.58,51,100,8.01,VE,2022-04-06 17:30:09
166,Codrington,-38.2667,141.9667,60.39,79,29,9.75,AU,2022-04-06 17:30:09
167,Aswan,24.0934,32.907,93.07,7,0,14.03,EG,2022-04-06 17:30:10
168,Biak,-0.9131,122.8766,75.85,83,100,2.48,ID,2022-04-06 17:30:10
169,Souillac,-20.5167,57.5167,79.18,78,40,9.22,MU,2022-04-06 17:30:11
170,Nara,34.6851,135.8049,53.49,52,66,1.7,JP,2022-04-06 17:27:24
171,Luena,-11.7833,19.9167,65.82,91,100,1.23,AO,2022-04-06 17:30:11
172,Arraial Do Cabo,-22.9661,-42.0278,80.46,78,75,17.27,BR,2022-04-06 17:30:12
173,Yeppoon,-23.1333,150.7333,69.58,73,13,13.71,AU,2022-04-06 17:30:12
174,Morondava,-20.2833,44.2833,80.73,62,1,9.66,MG,2022-04-06 17:30:12
175,San Lorenzo,-25.3333,-57.5333,83.34,74,75,6.91,PY,2022-04-06 17:30:13
176,Fortuna,40.5982,-124.1573,56.93,75,0,1.01,US,2022-04-06 17:30:13
177,Poum,-20.2333,164.0167,80.65,87,100,29.59,NC,2022-04-06 17:30:13
178,Chilmari,25.5559,89.6715,79.52,70,1,6.51,BD,2022-04-06 17:31:14
179,Anori,-3.7728,-61.6442,83.07,83,91,1.81,BR,2022-04-06 17:31:14
180,Labuhan,-6.8844,112.2051,77.11,87,83,11.43,ID,2022-04-06 17:31:15
181,Glasgow,55.8652,-4.2576,46.2,84,40,13.8,GB,2022-04-06 17:31:15
182,Porto Novo,6.4965,2.6036,85.82,76,77,11.12,BJ,2022-04-06 17:31:16
183,Upernavik,72.7868,-56.1549,4.05,94,35,11.45,GL,2022-04-06 17:31:16
184,Lagoa,39.05,-27.9833,60.75,87,72,24.38,PT,2022-04-06 17:31:17
185,Mehran,33.1222,46.1646,82.18,13,25,10.76,IR,2022-04-06 17:31:17
186,Wahiawa,21.5028,-158.0236,70.86,80,0,4.61,US,2022-04-06 17:31:17
187,Dondo,-19.6094,34.7431,81.91,89,94,5.66,MZ,2022-04-06 17:31:18
188,Canton,23.1167,113.25,73.35,52,100,6.29,CN,2022-04-06 17:30:13
189,Lorengau,-2.0226,147.2712,82.04,80,99,16.06,PG,2022-04-06 17:31:18
190,Touros,-5.1989,-35.4608,84.42,67,64,11.92,BR,2022-04-06 17:31:19
191,Bengkulu,-3.8004,102.2655,76.01,88,98,4.14,ID,2022-04-06 17:31:19
192,Shingu,33.7333,135.9833,51.42,57,100,5.06,JP,2022-04-06 17:31:19
193,Fertod,47.6195,16.8868,53.04,68,86,9.13,HU,2022-04-06 17:31:20
194,Cabedelo,-6.9811,-34.8339,81.27,70,87,11.14,BR,2022-04-06 17:31:20
195,Padang,-0.9492,100.3543,77.68,82,100,4.18,ID,2022-04-06 17:31:21
196,Saint-Philippe,-21.3585,55.7679,78.39,81,100,12.19,RE,2022-04-06 17:31:21
197,Sabla,12.7525,4.7077,100.2,10,97,10.0,NG,2022-04-06 17:31:22
198,Tadine,-21.55,167.8833,79.45,83,100,21.85,NC,2022-04-06 17:31:22
199,Vila Franca Do Campo,37.7167,-25.4333,63.01,79,62,13.56,PT,2022-04-06 17:31:23
200,Ust-Ilimsk,58.0006,102.6619,36.79,98,100,6.76,RU,2022-04-06 17:30:55
201,Lesosibirsk,58.2358,92.4828,39.29,91,100,10.2,RU,2022-04-06 17:31:23
202,Vihari,30.0333,72.35,83.79,7,0,2.13,PK,2022-04-06 17:31:24
203,Macomer,40.262,8.7699,46.27,98,100,4.25,IT,2022-04-06 17:31:24
204,Sheboygan,43.7333,-87.9334,53.47,63,75,19.57,US,2022-04-06 17:30:17
205,Aviles,43.5547,-5.9248,58.37,70,20,10.36,ES,2022-04-06 17:31:24
206,The Pas,53.8251,-101.2541,37.42,60,75,10.36,CA,2022-04-06 17:30:39
207,Illela,13.7292,5.2975,96.85,6,98,5.61,NG,2022-04-06 17:31:25
208,Bam,29.106,58.357,80.19,20,26,11.03,IR,2022-04-06 17:31:25
209,Enid,36.3956,-97.8784,63.01,19,0,25.32,US,2022-04-06 17:28:46
210,Anadyr,64.75,177.4833,-8.9,70,20,4.47,RU,2022-04-06 17:31:26
211,Charters Towers,-20.1,146.2667,71.02,87,55,5.68,AU,2022-04-06 17:31:26
212,Cayenne,4.9333,-52.3333,83.08,1,100,13.8,GF,2022-04-06 17:31:26
213,San Marcos,33.1434,-117.1661,86.04,64,0,6.91,US,2022-04-06 17:27:37
214,Caraguatatuba,-23.6338,-45.4899,75.88,85,90,4.72,BR,2022-04-06 17:31:27
215,Verrettes,19.05,-72.4667,93.36,36,5,4.03,HT,2022-04-06 17:31:27
216,Erie,42.7667,-78.6664,62.02,75,87,13.35,US,2022-04-06 17:29:22
217,Trelew,-43.249,-65.3051,63.28,60,66,9.57,AR,2022-04-06 17:29:06
218,Norman Wells,65.282,-126.8329,6.84,61,20,3.44,CA,2022-04-06 17:31:28
219,Faya,18.3851,42.4509,71.71,10,0,12.1,SA,2022-04-06 17:31:28
220,Qaanaaq,77.484,-69.3632,9.77,89,100,0.83,GL,2022-04-06 17:31:29
221,Plettenberg Bay,-34.0527,23.3716,59.63,66,57,20.62,ZA,2022-04-06 17:31:29
222,Kahului,20.8947,-156.47,74.84,79,20,11.5,US,2022-04-06 17:31:30
223,Salzgitter,52.1526,10.3314,53.58,61,100,11.01,DE,2022-04-06 17:32:30
224,Kamenka,51.3223,42.7678,39.06,87,95,7.58,RU,2022-04-06 17:32:31
225,Ahipara,-35.1667,173.1667,63.39,78,91,11.03,NZ,2022-04-06 17:32:31
226,Jalingo,8.8833,11.3667,91.87,37,46,5.1,NG,2022-04-06 17:32:31
227,Riyadh,24.6877,46.7219,87.94,9,16,11.45,SA,2022-04-06 17:29:31
228,Ukiah,39.1502,-123.2078,72.66,46,5,1.28,US,2022-04-06 17:30:11
229,Acapulco,16.8634,-99.8901,80.42,69,40,8.05,MX,2022-04-06 17:28:44
230,Reutte,47.4833,10.7167,47.03,99,98,2.48,AT,2022-04-06 17:32:32
231,Karwar,14.8,74.1333,81.12,73,72,5.1,IN,2022-04-06 17:32:32
232,Anastacio,-20.4836,-55.8069,94.42,41,41,4.9,BR,2022-04-06 17:32:33
233,Ilulissat,69.2167,-51.1,24.82,80,75,6.91,GL,2022-04-06 17:32:33
234,Vicente Guerrero,19.1194,-98.1708,72.79,13,24,3.18,MX,2022-04-06 17:32:34
235,Provideniya,64.3833,-173.3,-4.77,92,100,10.0,RU,2022-04-06 17:32:34
236,Lazaro Cardenas,17.9583,-102.2,81.5,50,93,7.09,MX,2022-04-06 17:28:52
237,Huilong,31.8111,121.655,55.92,85,70,6.67,CN,2022-04-06 17:32:35
238,Xudat,41.631,48.681,49.5,74,93,11.03,AZ,2022-04-06 17:32:35
239,Aden,12.7794,45.0367,80.64,75,0,17.13,YE,2022-04-06 17:30:03
240,La Rioja,42.25,-2.5,56.98,76,56,1.45,ES,2022-04-06 17:32:36
241,Cabo San Lucas,22.8909,-109.9124,78.62,62,0,4.0,MX,2022-04-06 17:29:15
242,Santa Fe,-31.6333,-60.7,85.01,55,18,5.01,AR,2022-04-06 17:32:36
243,North Bend,43.4065,-124.2243,55.31,72,0,9.22,US,2022-04-06 17:28:44
244,Lohardaga,23.4333,84.6833,77.72,8,1,2.75,IN,2022-04-06 17:32:36
245,Saint George,37.1041,-113.5841,61.63,20,0,4.61,US,2022-04-06 17:32:37
246,Hasaki,35.7333,140.8333,52.29,79,100,19.6,JP,2022-04-06 17:32:37
247,Kwinana,-32.25,115.7667,68.18,54,92,9.84,AU,2022-04-06 17:31:06
248,Pangnirtung,66.1451,-65.7125,5.0,78,20,2.3,CA,2022-04-06 17:32:38
249,Narsaq,60.9167,-46.05,37.62,69,84,4.36,GL,2022-04-06 17:32:39
250,Hisai,34.6667,136.4667,55.2,64,84,4.92,JP,2022-04-06 17:32:39
251,Khudaganj,28.15,79.7167,81.9,9,60,7.27,IN,2022-04-06 17:32:39
252,Suntar,62.1444,117.6319,3.34,96,68,4.54,RU,2022-04-06 17:32:40
253,Pochutla,15.7432,-96.4661,87.82,38,15,10.13,MX,2022-04-06 17:32:40
254,Makakilo City,21.3469,-158.0858,72.68,75,0,5.75,US,2022-04-06 17:32:41
255,Lompoc,34.6391,-120.4579,79.63,42,0,9.22,US,2022-04-06 17:32:41
256,Mahajanga,-15.7167,46.3167,81.75,71,59,3.65,MG,2022-04-06 17:32:41
257,Iqaluit,63.7506,-68.5145,6.53,71,40,25.32,CA,2022-04-06 17:29:50
258,Havoysund,70.9963,24.6622,34.03,83,100,25.64,NO,2022-04-06 17:32:42
259,Tiksi,71.6872,128.8694,-16.01,100,95,1.92,RU,2022-04-06 17:32:42
260,Bandarbeyla,9.4942,50.8122,79.92,72,7,9.13,SO,2022-04-06 17:32:43
261,Strezhevoy,60.7333,77.5889,25.29,85,99,17.29,RU,2022-04-06 17:32:43
262,Omsukchan,62.5333,155.8,-10.98,100,100,2.59,RU,2022-04-06 17:32:44
