City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
392,Amuntai,ID,74.37,overcast clouds,-2.4177,115.2494,Hotel Balqis
397,Camocim,BR,77.61,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
398,Itarema,BR,77.77,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Jimenez,MX,82.53,scattered clouds,28.3333,-105.4,El torreon
400,Gwadar,PK,78.22,clear sky,25.1216,62.3254,Sadaf Resort
401,Mahibadhoo,MV,84.25,overcast clouds,3.7833,72.9667,Omadhoo Inn
403,Dhidhdhoo,MV,82.6,overcast clouds,6.8833,73.1,Dhidhoo beach
408,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
409,Takoradi,GH,79.7,overcast clouds,4.8845,-1.7554,Raybow International Hotel
413,Maraa,BR,76.15,heavy intensity rain,-1.8333,-65.3667,
415,Salon,IN,85.84,clear sky,26.0333,81.45,Fhation look garmenet
417,Lucea,JM,80.46,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
418,Le Vauclin,MQ,78.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
422,Bac Lieu,VN,80.08,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
424,Tamandare,BR,78.91,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
427,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
429,Inirida,CO,78.8,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
435,Sarakhs,IR,72.5,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
437,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
438,Balinad,PH,77.18,overcast clouds,13.2926,123.5454,RRS Residence
440,Sur,OM,85.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
448,Carutapera,BR,76.8,overcast clouds,-1.195,-46.02,Lidera
452,Kupang,ID,79.65,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
454,Tabou,CI,78.76,light rain,4.423,-7.3528,hotêl doufoulougou
455,Labrea,BR,78.85,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
456,Biak,ID,78.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
462,Alyangula,AU,78.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
468,Jacareacanga,BR,75.72,moderate rain,-6.2222,-57.7528,Casa do Ian😎
473,La Asuncion,VE,77.9,clear sky,11.0333,-63.8628,Colinas de Matasiete
476,San Miguel,SV,90.48,overcast clouds,13.4833,-88.1833,Excalibur
477,Manuk Mangkaw,PH,81.03,overcast clouds,4.8,119.85,
478,Lodwar,KE,86.31,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
479,Namatanai,PG,83.93,light rain,-3.6667,152.4333,Seagulls Inn Namatani
482,Cockburn Town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
488,Iguape,BR,74.52,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
492,Salgueiro,BR,81.64,overcast clouds,-8.0742,-39.1192,Hotel Requinte
495,Waingapu,ID,78.35,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
496,Pecos,US,77.09,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
497,Bocana De Paiwas,NI,86.25,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
503,El Vigia,VE,82.08,broken clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
508,Urucui,BR,76.39,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
512,Vite,IN,82.36,overcast clouds,17.2833,74.55,Hotel Dreamland
513,Maragogi,BR,78.46,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
515,Front Royal,US,81.12,clear sky,38.9182,-78.1944,Hampton Inn Front Royal
